"episodeSeqNum","showCode","episodeNum","airDate","url","episodeTitle","episodeSummary","audioUrl","frameRateHz","numChannels","durationSecs","notes"
"11","tds","11","2014-10-12","https://therightstuff.biz/2014/10/12/the-daily-shoah-episode-11-a-breach-in-protocol/","A Breach In Protocol","A semi week-off for the Shoah, we present to you material that wasn’t included in previous episodes, along with a brief intro by the Seventh Son. Also, as always, Morrakiu brings us a new episode of The Merchant Minute. The Daily Shoah will return to normal next week.","https://archive.org/download/TRS013/TRS011.mp3","32000","1","2839.79","no death panel; clip show"
"12","tds","12","2014-10-20","https://therightstuff.biz/2014/10/20/the-daily-shoah-episode-12-dindu-pumpkins/","Dindu Pumpkins","Our glorious return. Your greatest ally.","https://archive.org/download/TRS013/TRS012.mp3","32000","1","4527.18",NULL
"13","tds","13","2014-10-27","https://therightstuff.biz/2014/10/27/the-daily-shoah-episode-13-mr-enoch-comes-to-dinner/","Mr. Enoch Comes To Dinner","Another all new, all Jew episode of your favorite pogromcast. Here’s a run down for those with the High Time Preference:","https://archive.org/download/TRS013/TRS013.mp3","32000","1","5561.14",NULL
"14","tds","14","2014-11-03","https://therightstuff.biz/2014/11/03/the-daily-shoah-episode-14-baloney-and-shekels/","Baloney and Shekels","Hey! The Death Panel got some new mics, thanks to your generous patronage. Take a listen to the results. A huge show this week, we interview Morrakiu, the creator of The Merchant Minute! Also, an all new Shitlord Report and Chateau Autiste.","https://archive.org/download/TRS1488IX/TRS014.mp3","24000","2","5556.07",NULL
"15","tds","Special Report","2014-11-05","https://therightstuff.biz/2014/11/05/the-daily-shoah-special-report-liberal-electile-dysfunction/","Liberal Electile Dysfunction","The Death Panel gathered for a special Schadenfreude Session this evening. Listen in and help us drink all these liberal tears! Cheers!","https://archive.org/download/TRS1488IX/TRS014.5.mp3","24000","2","2263.22",NULL
"16","tds","14.88","2014-11-11","https://therightstuff.biz/2014/11/11/the-daily-shoah-episode-14-88-right-wing-pokemon/","Right Wing Pokemon","Gotta Catch ‘em all! The Death Panel gather to discuss the many different flavors of Alt-Right for this special 14.88th episode of your favorite weekly hour and a half. Complete with 4 minute introduction.","https://archive.org/download/TRS1488IX/TRS14.88.mp3","32000","1","4901.04",NULL
"17","tds","14.88 pt Deux","2014-11-17","https://therightstuff.biz/2014/11/17/tds-ep-1488-2/","Trans-Atlantic Trigger Warning","The Death Panel are joined by the Marquis Graham, all the way from the UK for a nice discussion on Kebab removal.","https://archive.org/download/TRS1488IX/TRS1488II.mp3","32000","1","5023.19",NULL
"18","tds","14.88 III","2014-11-24","https://therightstuff.biz/2014/11/24/the-daily-shoah-episode-14-88-iii-the-ministry-of-puddin/","The Ministry of Puddin'","In this third installment of Episode 14.88 of the Daily Shoah, the death panel discuss Obama’s executive order regarding illegal immigration, Bill Cosby, and how to ensure all news reporting in the country is accurate. Featuring Chateau Autiste, The Shitlord Report and The Merchant Minute.","https://archive.org/download/TRS1488IX/TRS1488III.mp3","32000","1","4264.06",NULL
"19","tds","14.88 part III addendum (a)","2014-11-25","https://therightstuff.biz/2014/11/25/the-daily-shoah-episode-14-88-part-iii-addendum-a-happy-chimpsgiving/","Happy Chimpsgiving","The Death Panel convened for a Special Report on the Peaceful, Nonviolent Chimpouts in Ferguson. Join us for the ceremonial drinking of liberal tears!","https://archive.org/download/TRS1488IX/TRS1488IIIa.mp3","32000","1","3159.40",NULL
"20","tds","14.88 part IV","2014-12-01","https://therightstuff.biz/2014/12/01/the-daily-shoah-episode-14-88-part-iv-white-domain-radio-hope-youre-doing-well/","White Domain Radio (hope you're doing well!)","As Sneaky Stefan gets Real on Race, the Death Panel discusses the aftermath of Ferguson, SWPL gift ideas, and eventually, Star Trek.","https://archive.org/download/TRS1488IX/TRS1488IV.mp3","32000","1","4708.91",NULL
"21","tds","14.88 Part V","2014-12-08","https://therightstuff.biz/2014/12/08/the-daily-shoah-episode-14-88-part-v-dyin-for-a-loosey/","Dyin' for a Loosey.","Toilet Law talks to us about the recent Grand Jury decisions in NYC and Ferguson, Sean Last tells us about his latest article on Race Realism.","https://archive.org/download/TRS1488IX/TRS1488V.mp3","44100","2","7214.03",NULL
"22","tds","14.88 Part VI","2014-12-15","https://therightstuff.biz/2014/12/15/the-daily-shoah-episode-14-88-part-vi-more-like-episode-1488stein/","More Like Episode 1488Stein","The Death Panel reflect upon the asspain and faggotry in regards to Alex’s Article on the CIA torture report. Also featuring The Shitlord Report, Chateau Autiste and The Merchant Minute.","https://archive.org/download/TRS1488IX/TRS1488VI.mp3","44100","2","5365.55",NULL
"23","tds","14.88 Part VII","2014-12-22","https://therightstuff.biz/2014/12/22/the-daily-shoah-episode-14-88-part-vii-the-festival-of-darks/","The Festival Of Darks","The Death Panel take time out from their Hanukkah Revelry to talk about the wall between you & dindu. Including Chateau Autiste, The Shitlord Report and The Merchant Minute.","https://archive.org/download/TRS1488IX/TRS1488VII.mp3","44100","2","4855.48",NULL
"24","tds","14.88 pt VIII","2014-12-29","https://therightstuff.biz/2014/12/29/the-daily-shoah-episode-14-88-pt-viii-the-2014-88-year-in-review/","The 2014.88 Year In Review","The Death Panel gather to reflect on the best year for making 14/88 jokes. Also, don’t miss Mike’s appearance on the AltRight Podcast today! And have a Happy Jew Year!","https://archive.org/download/TRS1488IX/TRS1488VIII.mp3","44100","2","5669.28",NULL
"25","tds","14.88 Part 9","2015-01-05","https://therightstuff.biz/2015/01/05/the-daily-shoah-episode-14-88-part-9-episode-fourteen-haidty-haidt/","Episode Fourteen Haidty Haidt","The Death Panel imbibe just enough alcohol for a lively discussion on Jonathan Haidt’s writings on morality, politics, and chicken-fucking. Featuring The Shitlord Report and The Merchant Minute.","https://archive.org/download/TRS1488IX/TRS1488IX.mp3","44100","2","5984.44",NULL
"26","tds","15","2015-01-12","https://therightstuff.biz/2015/01/12/the-daily-shoah-screw-it-episode-15/","Screw it, Episode 15","The Death Panel gather to record their 15th episode, which turned out to be nearly as long as the 14th. Featuring the Shitlord Report, The Merchant Minute, and guest panelist Cledun.","https://archive.org/download/TDS015/TDS015.mp3","44100","2","8594.77",NULL
"27","tds","16","2015-01-19","https://therightstuff.biz/2015/01/19/the-daily-shoah-episode-16-we-had-a-dream/","We Had A Dream","The Death Panel had a dream, but the Frankfurt School told us it was totally off the F-scale. Featuring The Shitlord Report, Chateau Autiste and The Merchant Minute","https://archive.org/download/TRS015/TRS016.mp3","44100","2","6759.03",NULL
"28","tds","17","2015-01-26","https://therightstuff.biz/2015/01/26/the-daily-shoah-ep-17-surrendering-at-mcdonalds/","Surrendering At McDonald's","On a very special episode of The Daily Shoah, the Death Panel discuss a certain semi-famous Pedophile, the recent Greek elections, and like, Jews and stuff. Featuring The Shitlord Report and The Merchant Minute","https://archive.org/download/TRS017/TRS017.mp3","44100","2","7288.40",NULL
"29","tds","18","2015-02-02","https://therightstuff.biz/2015/02/02/the-daily-shoah-episode-18-when-the-left-goes-too-far/","When The Left Goes Too Far","The Death Panel came together in heretical fashion during the America’s Jewper Bowl Sunday Holiday festivities. Featuring The Shitlord Report and The Merchant Minute.","https://archive.org/download/TRS028/TRS018.mp3","44100","2","6776.03",NULL
"30","tds","19","2015-02-10","https://therightstuff.biz/2015/02/10/the-daily-shoah-episode-19-of-rapes-and-ropes/","Of Rapes and Ropes","A few new faces join the death panel to discuss how to react to rape, burning men alive, troll raids, and probably Jews. Featuring The Shitlord Report, Chateau Autiste, and The Merchant Minute.","https://archive.org/download/TRS028/TRS019.mp3","44100","2","6418.29",NULL
"31","tds","20","2015-02-16","https://therightstuff.biz/2015/02/16/the-daily-shoah-episode-20-your-ianal-bill-of-rights/","Your iAnal Bill Of Rights","The Death Panel gathered to discuss trolling anti-racists, foreign policy, and Hateful Heretic gives us a nice preview of some articles he’s working on regarding triggering liberals into a hateful frenzy. Featuring The Shitlord Report and The Merchant Minute.","https://archive.org/download/TRS028/TRS020.mp3","44100","2","8478.30",NULL
"32","tds","21","2015-02-23","https://therightstuff.biz/2015/02/23/the-daily-shoah-episode-21-porn-in-the-bible/","Porn In The Bible!","The Death Panel discuss determinism, banning porn and our White Knight D’nation drive. Featuring special guest Common Filth, Chateau Autiste, The Shitlord Report and The Merchant Minute.","https://archive.org/download/TRS028/TRS021.mp3","44100","2","8466.63",NULL
"33","tds","22","2015-03-02","https://therightstuff.biz/2015/03/02/the-daily-shoah-episode-22-a-propertarian-brunch/","A Propertarian Bunch","Curt Doolittle joins the Death Panel all the way from Kiev in this special episode. Featuring the Shitlord Report and The Merchant Minute.","https://archive.org/download/TRS028/TRS022.mp3","44100","2","7800.03",NULL
"34","tds","23","2015-03-09","https://therightstuff.biz/2015/03/09/the-daily-shoah-episode-23-the-shillingularity/","The Shillingularity","The Death Panel discuss why they’re dicks, Netanyahu’s speech before the House of Representin’, and She Who Shall Not Be Named. Featuring the Shitlord Report and the Merchant Minute.","https://archive.org/download/TRS028/TRS023.mp3","44100","2","9231.36",NULL
"35","tds","24","2015-03-17","https://therightstuff.biz/2015/03/17/the-daily-shoah-episode-24-i-fucking-love-sci-fi/","I Fucking Love Sci-Fi","The Day Late Death Panel discuss Patriarchal Anarcho-Capitalist Frogs from Planet Tandaloor, Millennial Woes’ upcoming Rotherham Project, and Bibi in trouble. Featuring the Merchant Minute.","https://archive.org/download/TRS028/TRS024.mp3","44100","2","9077.24",NULL
"36","tds","25","2015-03-23","https://therightstuff.biz/2015/03/23/the-daily-shoah-episode-25-an-ovenworthy-work-of-staggering-degeneracy/","An Ovenworthy Work of Staggering Degeneracy","The Death Panel discuss CAFE Standards, Liberals getting all their opinions from bad TV shows, and Glenn Beck’s shilling. Featuring The Merchant Minute.","https://archive.org/download/TRS028/TRS025.mp3","44100","2","9636.28",NULL
"37","tds","26","2015-03-30","https://therightstuff.biz/2015/03/30/the-daily-shoah-episode-26-an-autistic-double-dose/","An Autistic Double-Dose","Alex McNabb returns to the Death Panel, and Nick B. Stoves of the Ascending The Tower podcast is our special guest. Topics include Catholicism, NRX, Freedom Of Association, and a very special Two-Part Chateau Autiste segment. Featuring The Merchant Minute with Morrakiu as well.","https://ia800208.us.archive.org/19/items/TDS015/TDS026.mp3","44100","2","8277.01",NULL
"38","tds","27","2015-04-07","https://therightstuff.biz/2015/04/07/the-daily-shoah-episode-27-the-gayest-shoah-ever/","The Gayest Shoah Ever!","Introducing Duke Godwin to the Death Panel! The Gayest Shoah Ever! Featuring Chateau Autiste, The Merchant Minute and lots of other gay stuff.","https://archive.org/download/TRS028/TRS027.mp3","44100","2","8626.73","possible error in file - jumps in wiht no introduction"
"39","tds","28","2015-04-14","https://therightstuff.biz/2015/04/14/the-daily-shoah-episode-28-malicious-compliance/","Malicious Compliance","The Death Panel are caught off guard by yet another Dindu who dindu nuffin, Common Core, Captain Planet, and, uh, JEWS. Featuring The Shitlord Report and The Merchant Minute.","https://archive.org/download/TRS028/TRS028.mp3","44100","2","10047.03",NULL
"40","tds","29","2015-04-21","https://therightstuff.biz/2015/04/21/the-daily-shoah-episode-29-amren-rap-battle/","AmRen Rap Battle!","The TRS Crew takes on allayall manosphere nigguhs. Bix nood muffuggah bip de boop. Mike and Bulby report back from the AmRen Conference. Featuring some songs by Toilet Law and Morrakiu, as well as the Merchant Minute","https://archive.org/download/TRS028/TRS029.mp3","44100","2","7495.13",NULL
"41","tds","30","2015-04-28","https://therightstuff.biz/2015/04/28/the-daily-shoah-episode-30-space-to-destroy/","Space to Destroy","Another dindutacular Shoah, as an extended Death Panel teams up in the absence of Seventh Son to form a giant racist Voltron and discuss the recent chimpout in Bodymore among other things. Featuring Mike Enoch, Bulbasaur, Ghoul, Duke Godwin, Alex McNabb, Hateful Heretic and Morakiu with an all new Merchant Minute.","https://archive.org/download/TDS30-35/TRS030.mp3","44100","2","9315.26",NULL
"42","tds","31","2015-05-05","https://therightstuff.biz/2015/05/05/the-daily-shoah-episode-31-was-chimping-out-part-of-your-plan/","Was Chimping Out Part Of Your Plan?","Seventh Son is back from a triggering trip to Southern California, and he and the Death Panel discuss Baltimore, Political Correctness, Chomsky, and Holocaust denial.","https://archive.org/download/TDS30-35/TRS031.mp3","44100","2","8105.04",NULL
"43","tds","32","2015-05-11",,"Retard Rape","The Death Panel discuss how to rape retarded girls and become a spokesman for a generation. Toilet Law appears and tells depressing stories of the dindu control system. Mike has a new soundboard and consequences will never be the same.",NULL,NULL,NULL,NULL,"episode removed from site due to unintentional (?) doxing?"
"44","tds","33","2015-05-19","https://therightstuff.biz/2015/05/19/the-daily-shoah-episode-33-coors-light-can-melt-wood-beams/","Coors Light Can Melt Wood Beams","The Death Panel discuss Echoey Landlords, the Biker Gang chimpout, anti-racist brain surgery, and other fun things. Featuring Chateau Autiste and The Merchant Minute.","https://archive.org/download/TDS30-35/TRS033.mp3","44100","2","8614.03",NULL
"45","tds","34","2015-05-27","https://therightstuff.biz/2015/05/27/the-daily-shoah-episode-34-welfare-whore-warriors-for-zog/","Welfare Whore Warriors for ZOG","On a special Memorial Day edition of the Podcast, the Death Panel is joined by some of our Iraq Veteran friends. Featuring The Shitlord Report and The Merchant Minute.","https://archive.org/download/TDS30-35/TRS034.mp3","44100","2","8155.04",NULL
"46","tds","35","2015-06-02","https://therightstuff.biz/2015/06/02/the-daily-shoah-episode-35-doolittle-doesitagain/","Doolittle Doesitagain!","Curt Doolittle joins the Death Panel again on Day One of an unprecedented 2-day episode to discuss the genetic necessity of Anglo signalling. On day two, Fascinus drops in to talk about his recent article about American Nationalism. Featuring the Merchant Minute.","https://archive.org/download/TDS30-35/TRS035.mp3","44100","2","11510.18",NULL
"47","tds","36","2015-06-09","https://therightstuff.biz/2015/06/09/the-daily-shoah-episode-36-your-standard-poolparty-2/","Your Standard Poolparty","Seventh Son, Mike Enoch, Hateful Heretic, Alex McNabb, Ghoul, and MeowMix gather to advise on ph-balancing and clarifying your muddiest brown water. Featuring the Longest Merchant Minute Ever with Morrakiu","https://archive.org/download/TRS036/TRS036.mp3","44100","2","9688.40",NULL
"48","tds","37","2015-06-16","https://therightstuff.biz/2015/06/16/the-daily-shoah-episode-37-transniggerphobia/","TransNiggerPhobia","The Death Panel are visited by special guest Weev! Casebolt, Jews, and lots of feedback are discussed. Featuring The Shoah's first ever commercial break, and The Merchant Minute.","https://archive.org/download/TRS037/TRS037.mp3","44100","2","9113.57",NULL
"49","tds","38","2015-06-23","https://therightstuff.biz/2015/06/23/the-daily-shoah-episode-38-flagged-as-offensive/","Flagged As Offensive","Recorded LIVE on Renegade Broadcasting, June 22, 2015. Seventh Son, Hateful Heretic and Greg Johnson reveal themselves to be JIDF controlled moderate shill Yankees who cry bitter tears for SC State Senator Clementa Pinckney. Featuring Le Chateau Autiste, The Merchant Minute, and your phone calls!","https://archive.org/download/TRS045/TRS038.mp3","44100","2","7266.04",NULL
"50","tds","39","2015-06-30","https://therightstuff.biz/2015/06/30/the-daily-shoah-episode-39-worst-week-ever/","Worst Week Ever","Seventh Son, Sean Last, Hateful Heretic, and Ghoul gather to ice each other's anuses after the last 10 days of constant trigger rape. Featuring The Shitlord Report and The Merchant Minute.","https://archive.org/download/TRS045/TRS039.mp3","44100","2","8564.19",NULL
"51","tds","40","2015-07-07","https://therightstuff.biz/2015/07/07/the-daily-shoah-episode-40-go-greece-lightning/","Go Greece Lightning","Seventh Son, Mike Enoch, and Hateful Heretic are joined by first-timers Graf Rudolf and Maxwell Thruster on this week's Death Panel. Topics include the Greek referendum, more Confederate Flag discussion, Mike's trip to the Fatherlands, and tentacle porn. Featuring The Merchant Minute and Le Chateau Autiste.","https://archive.org/download/TRS045/TRS040.mp3","44100","2","8729.03",NULL
"52","tds","41","2015-07-14","https://therightstuff.biz/2015/07/14/the-daily-shoah-episode-41-standard-comb-over/","Standard Comb-Over","Seventh Son, Mike Enoch, Raiden, Sean Last and Greg Johnson discuss the cuckservative counter-signalling against truly the greatest presidential candidate ever. Including The Shitlord Report with Kimmy Goebbels, The Merchant Minute, and Morrakiu's all-new feature, Dear Rabbi.","https://archive.org/download/TRS045/TRS041.mp3","44100","2","9731.66",NULL
"53","tds","42","2015-07-21","https://therightstuff.biz/2015/07/21/the-daily-shoah-episode-42-stir-of-echoes/","Stir Of Echoes","Thank you to everyone who joined us last night for our live call-in show. The broadcast was rife with technical issues, and to make it up to you, we'll be recording a Second Shoah Wednesday night and publishing it Thursday. That episode will feature the Merchant Minute. In the meantime, we offer you this edited version of last night's Shoah that was an actual Shoah. Featuring Le Chateau Autiste and Ben Garrison Real Estate.","https://archive.org/download/TRS045/TRS042.mp3","44100","2","8560.01",NULL
"54","tds","42.88","2015-07-23","https://therightstuff.biz/2015/07/23/the-daily-shoah-episode-42-88-anoodah-shoah/","Anodah Shoah","Mike Enoch, Seventh Son, and Ghoul get together and make up for the problematic episode 42. Featuring The Merchant Minute","https://archive.org/download/TRS045/TRS042.88.mp3","44100","2","6649.89",NULL
"55","tds","43","2015-07-28","https://therightstuff.biz/2015/07/28/the-daily-shoah-episode-43-it-would-be-very-cuckservative/","It Would Be Very Cuckservative","Seventh Son, Mike Enoch, Greg Johnson, MeowBlitz and Ghoul discuss the #Cuckservative meme crossing over to the mainstream. Featuring Le Chateau Autiste and The Merchant Minute.","https://archive.org/download/TRS045/TRS043.mp3","44100","2","9720.01",NULL
"56","tds","44","2015-08-05","https://therightstuff.biz/2015/08/05/the-daily-shoah-episode-44-the-gibsmedat-industrial-complex/","The Gibsmedat Industrial Complex","Mike Enoch, Seventh Son, Ghoul, and Ascending The Tower's Nick Bro-Magnon Man Steves and Surviving Babel discuss Dindu Fatigue, Eugenics, Planned Parenthood and much more. Featuring The Shitlord Report with Scarlett O'Stonewall, Dear Rabbi, and The Merchant Minute.","https://archive.org/download/TRS045/TRS044.mp3","44100","2","10254.42",NULL
"57","tds","45","2015-08-12","https://therightstuff.biz/2015/08/12/the-daily-shoah-episode-45-happy-dinduversary/","Happy Dinduversary","On the one year anniversary of the Daily Shoah we discuss a renewal of unrest in Ferguson, clashing progressive and black narratives, Proggie cognitive dissonance, Gavin McInnes, cuckservatives and Jews. Of coursh. With Mike Enoch, Raiden, Meow Blitz, Scarlett O'Stonewall, Seventh Son, Duke Godwin and Ghoul.","https://archive.org/download/TRS045/TRS045.mp3","44100","2","11558.15",NULL
"58","tds","46","2015-08-18","https://therightstuff.biz/2015/08/18/the-daily-shoah-season-two/","Season Two","Welcome to our glorious Premier of Season Two of the Daily Shoah! Featuring The Shitlord Report, The Merchant Minute, and some fun surprises. Starting today, a donation of $14.88 entitles you to a DAILY SHOAH oven mitt as token of our appreciation (shipped within the continental Jewnited States). Just make a donation with the button above, and email your shipping address to MITTS [at] THESHITLORDREPORT.COM. If you're donating from outside the US, you will be contacted with the final shipping price you can pay once again via our donation button.","https://ia800200.us.archive.org/32/items/trs051/trs046.mp3","44100","2","8398.18",NULL
"59","tds","47","2015-08-25","https://therightstuff.biz/2015/08/25/the-daily-shoah-season-2-how-to-ruin-free-meatball-day/","How To Ruin Free Meatball Day","Seventh Son, Mike Enoch, Ghoul, and Glop Knar talk about Monday's market crash, terror attacks, Talmudvision and more! Featuring Chateau Autiste and a very special Merchant Minute. Season 2 continues...","https://archive.org/download/trs051/trs047.mp3","44100","2","8554.06",NULL
"60","tds","48","2015-08-31","https://therightstuff.biz/2015/08/31/the-daily-shoah-ep-48-media-matzos-for-america/","Media Matzos for America","Season Two continues with Mike Enoch, Hateful Heretic, Ghoul, Greg Johnson, and Seventh Son got together to discuss Cuckservatives, Oven Mitts, Pestering the Lester and much more. Featuring the Merchant Minute, Chateau Autiste, and a word from our sponsor.","https://archive.org/download/trs051/trs048.mp3","44100","2","9263.52",NULL
"61","tds","49","2015-09-09","https://therightstuff.biz/2015/09/09/the-daily-shoah-episode-49-camp-of-the-saints/","Camp of the Saints","Who knew this past week would be such a Shoah? Mike Enoch, Seventh Son, Ghoul, and Hateful Heretic sit down to talk about #NRORevolt, White trash, and the ongoing invasion of Europe by poor, starving refugees with iPods, full bellies, and English-language protest signs. Featuring Chateau Autiste, the Shitlord Report, and the Merchant Minute.","https://archive.org/download/trs051/trs049.mp3","44100","2","9102.24",NULL
"62","tds","50","2015-09-15","https://therightstuff.biz/2015/09/15/the-daily-shoah-number-50-special-die-cut-cover/","Special Die-Cut Cover","Seventh Son, Greg Johnson, Ghoul, and Hateful Heretic join forces on this milestone edition of the Shoah to discuss new developments in the Syrian Migrant Crisis, Stupid Blacks, and movies. Featuring Triple D, The Shitlord Report and The Merchant Minute.","https://archive.org/download/trs051/trs050.mp3","44100","2","8821.03",NULL
"63","tds","51","2015-09-22","https://therightstuff.biz/2015/09/22/the-daily-shoah-episode-51-standard-clock-party/","Standard Clock Party","A huge fucking Shoah. Seventh Son, Mike Enoch, Ghoul, Hateful Heretic, Bradshaw Wilson, and The Autiste gather for a massive 3+ hour episode. Featuring the Merchant Minute and Between Two Lampshades with Christopher Cantwell.","https://archive.org/download/trs051/trs051.mp3","44100","2","12201.95",NULL
"64","tds","52","2015-09-29","https://therightstuff.biz/2015/09/29/the-daily-shoah-episode-52-papal-shaming-tour-2015/","Papal Shaming Tour 2015","Seventh Son, Mike Enoch, Sean Last, and Ghoul welcome guest Death Panelist RamZPaul and discuss the Pope's visit, black people being stupid, Planned Parenthood and the Liberal Hamster wheel, and much more. Featuring Le Chateau Autiste, The Shitlord Report, and The Merchant Minute. Bradshaw Wilson of Saturday Night L'Chaim and Scarlett O'Stonewall also pop in for a bit.","https://archive.org/download/trs051/trs052.mp3","44100","2","9858.64",NULL
"65","tds","53","2015-10-06","https://therightstuff.biz/2015/10/06/the-daily-shoah-episode-53-just-shoah-and-chill/","Just Shoah and Chill","Mike Enoch, Seventh Son, Raiden, and Ghoul get together to just Shoah and Chill. Featuring The Shitlord Report, Chateau Autiste, and The Merchant Minute","https://archive.org/download/trs051/trs053.mp3","44100","2","9228.04",NULL
"66","tds","54","2015-10-13","https://therightstuff.biz/2015/10/13/the-daily-shoah-episode-54-indigenous-goyim-day/","Indigenous Goyim Day","Mike, SS, Ghoul, Toilet Law, Morrakiu and guest Death Panelist Richard Spencer gather for a special Columbus Day episode of The Shoah! Featuring Between Two Lampshades with Senate Candidate Augustus Sol Invictus, Dear Rabbi and The Merchant Minute","https://archive.org/download/trs051/trs054.mp3","44100","2","9105.03",NULL
"67","tds","55","2015-10-20","https://therightstuff.biz/2015/10/20/the-daily-shoah-episode-55-laotian-stop-motion/","Laotian Stop-Motion","Mike Enoch, Seventh Son, Ghoul and Bradshaw have a few questions for White people, concerns about the new Star Wars movie, and Clockboy. Featuring Le Chateau Autiste and The Merchant Minute. OUT OF THE ASHES PDF DOWNLOAD","https://archive.org/download/trs051/trs055.mp3","44100","2","9484.15",NULL
"68","tds","56","2015-10-27","https://therightstuff.biz/2015/10/27/the-daily-shoah-episode-56-starving-freezing-and-deep-fried/","Starving, Freezing and Deep Fried","Mike Enoch, SS, Alex McNabb, Bradshaw, and Graf Rudolph discuss the latest on the Syrian invasion of Europe, Poland's election, and Swedish Darth Kebab Removers. Featuring Deathcamps, Despots & Dives, and The Merchant Minute","https://archive.org/download/trs051/trs056.mp3","44100","2","9427.36",NULL
"69","tds","57","2015-11-03","https://therightstuff.biz/2015/11/03/the-daily-shoah-episode-57-trigger-treat/","Trigger Treat","Happy Halloween! Mike Enoch, Claus Brinker, and Thorn Lockerson report back from the NPI conference. Along with Seventh Son, Ghoul, Alex McNabb, and Greg Johnson. Featuring The Shitlord Report and The Merchant Minute.","https://archive.org/download/trs051/trs057.mp3","44100","2","9895.05",NULL
